Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet,Exchange,"187,135.81",26.13%
0x2d2cc0eb095e43204e0c087e07dbf95909650939,OKX,Exchange,"20,124.45",2.81%
0xacd03d601e5bb1b275bb94076ff46ed9d753435a,Binance 1,Exchange,"18,180.28",2.53%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"15,113.73",2.11%
0x43c5b1c2be8ef194a509cf93eb1ab3dbd07b97ed,Binance US,Exchange,"9,885.47",1.38%
0x9ef21be1c270aa1c3c3d750f458442397fbffcb6,Huobi,Exchange,"4,348.53",0.60%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"4,270.21",0.59%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,"1,905.64",0.26%
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,Exchange,324.04,0.04%
0x92bd687953da50855aee2df0cff282cc2d5f226b,Crypto.com,Exchange,193.20,0.02%
0x50460c4cd74094cd591f455cad457e99c4ab8be0,Binance:Gas Supplier,Exchange,165.40,0.02%
0x7ab6c736baf1dac266aab43884d82974a9adcccf,Nexo,Exchange,106.84,0.01%
0x15ece0d7de25436bcfcf3d62a9085ddc7838aee9,Binance US,Exchange,101.86,0.01%
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,Exchange,90.58,0.01%
0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,Binance: Deposit Funder,Exchange,82.59,0.01%
0xc8373edfad6d5c5f600b6b2507f78431c5271ff5,Coinbase,Exchange,71.13,0.00%
0xebb8ea128bbdff9a1780a4902a9380022371d466,Kucoin,Exchange,51.94,0.00%
0xa3f45e619ce3aae2fa5f8244439a66b203b78bcc,Kucoin,Exchange,49.61,0.00%
0xa0fca8fa8e9c6aa77305f94be0e03908d0a42900,BingX,Exchange,9.08,0.00%
