Address,Address Tag,Type,Token Balance,Percentage
0x68f5c0a2de713a54991e01858fd27a3832401849,Uniswap V3(WETH-OP),Dex,"7,128,893.60",0.15%
0x47029bc8f5cbe3b464004e87ef9c9419a48018cd,VolatileV1 AMM - OP/USDC (vAMM-OP/USDC),Dex,"1,198,033.56",0.02%
0x574a21fe5ea9666dbca804c9d69d8caf21d5322b,bathOP v1 (bathOP),Dex,"901,814.12",0.01%
0xfc1f3296458f9b2a27a0b91dd7681c4020e09d05,Uniswap V3(WETH-OP),Dex,"855,168.04",0.01%
0x1c3140ab59d6caf9fa7459c6f83d4b52ba881d36,Uniswap V3(OP-USDC.e),Dex,"606,408.21",0.01%
0xcdd41009e74bd1ae4f7b2eecf892e4bc718b9302,VolatileV1 AMM - WETH/OP (vAMM-WETH/OP),Dex,"573,915.36",0.01%
0xe9581d0f1a628b038fc8b2a7f5a7d904f0e2f937,VolatileV2 AMM - OP/VELO (vAMMV2-OP/VELO),Dex,"410,706.34",0.00%
0xb533c12fb4e7b53b5524eab9b47d93ff6c7a456f,Uniswap V3(USDC-OP),Dex,"404,303.77",0.00%
0x730691cdac3cbd4d41fc5eb9d8abbb0cea795b94,Uniswap V3(WETH-OP),Dex,"240,758.96",0.00%
0xffd74ef185989bff8752c818a53a47fc45388f08,VolatileV1 AMM - VELO/OP (vAMM-VELO/OP),Dex,"156,543.29",0.00%
0x81f638e5d063618fc5f6a976e48e9b803b3240c0,VolatileV1 AMM - OP/BIFI (vAMM-OP/BIFI),Dex,"140,277.24",0.00%
0x7f1c919a92bce8790a85d6360b85cf21b997a6b5,Uniswap V3(OP-BOB),Dex,"117,945.70",0.00%
0xd25711edfbf747efce181442cc1d8f5f8fc8a0d3,VolatileV2 AMM - WETH/OP (vAMMV2-WETH/OP),Dex,"112,024.11",0.00%
0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,ClipperDirect Pool Token (CLPRDRPL),Dex,"91,821.00",0.00%
0x1d751bc1a723accf1942122ca9aa82d49d08d2ae,Uniswap V3(OP-USDC.e),Dex,"67,126.18",0.00%
0xcb8883d1d8c560003489df43b30612aabb8013bb,Curve.fi seth-f Gauge Deposit (seth-f-gauge),Dex,"56,012.25",0.00%
0xc5ae4b5f86332e70f3205a8151ee9ed9f71e0797,Curve.fi sUSD3CRV-f Gauge Deposit (sUSD3CRV-f-gauge),Dex,"48,343.25",0.00%
0x7a512d3609211e719737e82c7bb7271ec05da70d,Rubicon,Dex,"46,557.74",0.00%
