Address,Address Tag,Type,Token Balance,Percentage
0x790b4086d106eafd913e71843aed987efe291c92,-,Eoa,"193,320,032.00",4.22%
0x7ebdfe7e4fed0d7a35ef9a89401f4a4975d40042,-,Eoa,"174,161,584.00",3.80%
0xb4fcc24173e21e99e6c5485608c6adfb73bc35c7,-,Eoa,"65,102,849.00",1.42%
0xdaf355e362ae08c012cb61914cef580ac50cbf36,-,Eoa,"63,527,464.37",1.38%
0x1b0f19081ed326d687fff85103abe15a6d2b29dd,-,Eoa,"24,975,019.00",0.54%
0x0a0b2ad610a04c6052b1ce3429f4edf3dde6244d,-,Eoa,"24,426,725.45",0.53%
0xa97709ec5582ea97e1344de80db068fce127c02f,-,Eoa,"23,976,106.12",0.52%
0x10ac1ecad33158e833a7fce165bcf4544a7d6f87,-,Eoa,"22,851,860.62",0.49%
0x1190ab18c243758acd1411acf6976997a00153e1,-,Eoa,"21,344,218.04",0.46%
0x9ebf15b6e80d26798bf3173d9cd974c87dc28c29,-,Eoa,"20,994,351.19",0.45%
0xb76a33b0fe54400a96d22839fafedc27eb45d429,-,Eoa,"20,000,000.00",0.43%
0xe0e048120e6c4e4ea6066767e49d2fb995d53324,-,Eoa,"20,000,000.00",0.43%
0x7be17ef6deaa93089a3f68947df7d7c9089130c1,-,Eoa,"20,000,000.00",0.43%
0x91d5d9491d54e6b95fdc2e4915263b28776e209c,-,Eoa,"20,000,000.00",0.43%
0x19f03567ee7cee4d1a2fa28c2edab3661f2afc4f,-,Eoa,"20,000,000.00",0.43%
0x3dccbe70defefb91942be2cc5533c61164065e4c,-,Eoa,"20,000,000.00",0.43%
0x0897b81196a787bb8192062568f1b5448bce5f2c,-,Eoa,"20,000,000.00",0.43%
0x17642539791414d36d511e6d2aa2c73f0a5aafc9,-,Eoa,"20,000,000.00",0.43%
0x47d838e66ba7b22f778e8559a3dc5658cdc94693,-,Eoa,"20,000,000.00",0.43%
0x0a5952a41da1b16d61532a9e019b79855f5afce2,-,Eoa,"20,000,000.00",0.43%
0x5adb4e1a8a8b157b1a73da6149622c5eb7b74eb7,-,Eoa,"19,798,396.00",0.43%
0x77a93c1a3e887ca489c2c556ea43471e61145c77,-,Eoa,"18,924,871.83",0.41%
0xab2051bdc69b603b15372137ff408ff5bc806987,-,Eoa,"18,631,305.28",0.40%
0xb00499bef904e32ac55d23f2492fae133a217406,-,Eoa,"17,883,055.73",0.39%
0x7e9c5780752e18aa38e30f9208e611452b735728,-,Eoa,"17,787,513.66",0.38%
0xa9f4adc049ff4fb5f860fcd21378226a90cc6cc7,-,Eoa,"17,786,736.42",0.38%
0x124cf0317601aff49e21204a89ca44b86b7129f1,-,Eoa,"17,710,150.80",0.38%
0x8611831356a2e93a7fe8dd243b7d544690843ebd,-,Eoa,"17,446,368.42",0.38%
0x41d0e28cd21f685abfa70d90455fc74f38885b28,-,Eoa,"16,407,245.13",0.35%
0xfda3c61133aa51080793fb95db73d2229b34a243,-,Eoa,"16,120,240.53",0.35%
0xf38969627cdea2ff976c39de9b8f3a33c6635ca6,-,Eoa,"14,702,589.43",0.32%
0xd80e867cddda0b49a6efcea45d51cd5ee222b7e7,-,Eoa,"14,357,513.51",0.31%
0x6d1a00e2b0df2dbfa7c229562376ab58e855fe04,-,Eoa,"14,238,119.90",0.31%
0x71153b83a1fdd932a9f63dd3496c4a343233d38e,-,Eoa,"14,132,917.83",0.30%
0xf88538a598bc87c1a0fb47408b7dedb4c25f487e,-,Eoa,"12,904,728.31",0.28%
0xeb8def97ede678dde0eb7f4781e2291c37aa175c,-,Eoa,"11,809,701.75",0.25%
0x8b05302b005496362fd44e349a8b9caa9553f3b8,-,Eoa,"11,698,559.83",0.25%
0x4e7e8f687bcfa8a302ae957374a06b484cccdee3,-,Eoa,"10,931,493.51",0.23%
0xcdb81d2f2bc2a68044d34da5a4d641ad0ce29feb,-,Eoa,"10,907,645.00",0.23%
0x1df8b221cde736ec042749a99b76f01f08ecb2b5,-,Eoa,"10,907,645.00",0.23%
0x84b91bb10f83a073f456af9b2c2f9d9a503941aa,-,Eoa,"10,907,645.00",0.23%
0xb3b7720467cb9134a66bfc22f1123dcd1b4477e6,-,Eoa,"10,907,645.00",0.23%
0x4ba52f76b80a4065d814645e1cf55367e140ccd7,-,Eoa,"10,907,645.00",0.23%
0x0265d3d6cd744d2eeb3171f97455b1281a8913eb,-,Eoa,"7,688,017.38",0.16%
0x789deb0b0b760ec464af463453cd0f74fde87970,-,Eoa,"7,102,698.04",0.15%
0xb18fe4b95b7d633c83689b5ed3ac4ad0a857a2a7,-,Eoa,"6,134,243.02",0.13%
0x4bb9326ac2721cecc34737fcce2fea5fe78ec88f,Bitkub:Coinbase Custody,Eoa,"5,740,010.00",0.12%
0xa43c51aacae41aec73e1eff2d13d69ed13de8dab,-,Eoa,"5,321,285.25",0.11%
0xfdd64bc5dea39511570d17e9e1f23a76595a468b,-,Eoa,"5,158,839.00",0.11%
0x9ad7e71319bc330b866deac5f011bde70b91d695,-,Eoa,"4,544,807.00",0.09%
0xf33f0e3727e5893c268ae31377ce1fd43cc042e5,a16z:Vesting,Eoa,"4,445,539.00",0.09%
0xac3ba9dbe440092180f982f7822e879299fd5411,-,Eoa,"4,266,646.84",0.09%
0x1769ad545b102bea2ef788d679a3ee5130a5b64f,-,Eoa,"4,204,352.91",0.09%
0xe5979b1e65df74d17ccbfb0cddc1dbcd65c495e6,-,Eoa,"4,170,000.00",0.09%
0xa17daab4603a448afa3a9693f06e6c8a866b68ff,-,Eoa,"4,093,740.67",0.08%
0x33a1ff081f44e07f353dc90e9fddf4e291f38780,-,Eoa,"4,046,579.00",0.08%
0xda9a55e5395efcdb91686201c68a800ee01f8df2,-,Eoa,"3,882,023.64",0.08%
0x714943f0d0ab2c5a54fca3ead97c3cc83425f6d4,-,Eoa,"3,882,022.64",0.08%
0x2f440857956c2a492c87dda8398d207114b2ca7b,a16z:Vesting,Eoa,"3,750,519.00",0.08%
0xfabbd50592e3a433738c57b85b4ba4466285a82a,-,Eoa,"3,654,456.97",0.07%
0x17d04923058d3d026b6e308eae70f6d752e467f1,-,Eoa,"3,653,608.02",0.07%
0xbde4bdf215f438ba953566b89b91dab47b4fed54,-,Eoa,"3,371,971.00",0.07%
0xf07f6596b4bdeee0fe6baad40bddfccd3ad6dbd7,a16z:Vesting,Eoa,"3,356,990.51",0.07%
0xa3c85349ef46d045866323fb13daa7332ba19157,a16z:Vesting,Eoa,"3,302,069.00",0.07%
0x9f74c8fdc9311733b9a092cf87d0507c1c6de41e,-,Eoa,"3,215,450.15",0.07%
0x5b226ed9852bc1c8acd69407efd3654a5c5a5f58,-,Eoa,"3,122,412.40",0.06%
0x58b5ce9b6e65e99ebbc6254e2677819374dadc18,-,Eoa,"3,122,412.40",0.06%
0x1ec4d6e4a8d2a58a08fab548d299919d75b7c413,-,Eoa,"3,122,412.40",0.06%
0xba2bbf13a19a9639ecc8e7ea10e603e82cb50c3f,-,Eoa,"3,122,412.40",0.06%
0x66ba9c055c28e89ff9eb188cbdadc53e56962a0b,-,Eoa,"3,122,412.40",0.06%
0xa82f19fc6f822fa5e4b9e23748c22bd97ef94b14,-,Eoa,"3,122,412.40",0.06%
0xde94127d0e5241e3f681a23eb86cb0089a147437,-,Eoa,"3,122,412.40",0.06%
