Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet,Exchange,"83,164,958.02",1.81%
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Exchange,"31,476,036.05",0.68%
0xebe80f029b1c02862b9e8a70a7e5317c06f62cae,OKX,Exchange,"30,298,362.90",0.66%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"17,116,895.02",0.37%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"3,092,420.00",0.06%
0xacd03d601e5bb1b275bb94076ff46ed9d753435a,Binance 1,Exchange,"2,655,821.12",0.05%
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,Bitget,Exchange,"2,544,609.38",0.05%
0xdf90c9b995a3b10a5b8570a47101e6c6a29eb945,MEXC: OP Hot Wallet,Exchange,"2,272,467.78",0.04%
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,Exchange,"1,447,279.47",0.03%
0x43c5b1c2be8ef194a509cf93eb1ab3dbd07b97ed,Binance US,Exchange,"1,331,265.65",0.02%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"1,050,297.40",0.02%
0xc8373edfad6d5c5f600b6b2507f78431c5271ff5,Coinbase,Exchange,"835,971.99",0.01%
0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,Coinspot,Exchange,"659,998.59",0.01%
0xa3f45e619ce3aae2fa5f8244439a66b203b78bcc,Kucoin,Exchange,"434,837.48",0.00%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,"413,293.72",0.00%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"363,435.36",0.00%
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,CoinDCX 2,Exchange,"279,899.56",0.00%
0x18709e89bd403f470088abdacebe86cc60dda12e,Huobi,Exchange,"208,396.06",0.00%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"181,183.22",0.00%
0xf0bc8fddb1f358cef470d63f96ae65b1d7914953,Korbit 8,Exchange,"169,477.18",0.00%
0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,Wintermute: Binance Deposit,Exchange,"152,613.66",0.00%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,"105,176.17",0.00%
0x92bd687953da50855aee2df0cff282cc2d5f226b,Crypto.com,Exchange,"94,718.49",0.00%
0xebb8ea128bbdff9a1780a4902a9380022371d466,Kucoin,Exchange,"93,411.03",0.00%
