Address,Address Tag,Type,Token Balance,Percentage
0xa56a25dee5b3199a9198bbd48715ee3d0ed98378,Velodrome V2(USDC-DOLA),Dex,"3,100,884.98",1.84%
0xa0a215de234276cac1b844fd58901351a50fec8a,VolatileV2 AMM - USDC/VELO (vAMMV2-USDC/VELO),Dex,"2,692,457.77",1.60%
0xbc26519f936a90e78fe2c9aa2a03cc208f041234,StableV2 AMM - USDC/sUSD (sAMMV2-USDC/sUSD),Dex,"2,468,907.12",1.46%
0x1de84e1324baf5a9f3a49a48892fe90ce48456f1,VolatileV2 AMM - USDC/STG (vAMMV2-USDC/STG),Dex,"2,083,580.71",1.23%
0xe07388b2a7bb29d3ad8989e1074bd00bd0d3c43d,StableV2 AMM - USDC/msUSD (sAMMV2-USDC/msUSD),Dex,"913,950.48",0.54%
0x124d69daeda338b1b31ffc8e429e39c9a991164e,StableV2 AMM - USDC/alUSD (sAMMV2-USDC/alUSD),Dex,"890,079.55",0.52%
0xa73c628eaf6e283e26a7b1f8001cf186aa4c0e8e,Uniswap V3(USDC-USDT),Dex,"712,814.40",0.42%
0x4f3da11c5cadf644ae023dbad01008a934c993e2,StableV2 AMM - USDC/LUSD (sAMMV2-USDC/LUSD),Dex,"596,701.05",0.35%
0x38133c2775ed3f8c698d5741a24ba833f8724e7a,VolatileV2 AMM - USDC/wstETH (vAMMV2-USDC/wstETH),Dex,"352,958.12",0.20%
0xdc6cb16b8d635ef255cef370263c35ac0007186a,Uniswap V3(USDC-WLD),Dex,"345,996.05",0.20%
0xf117719d5460ed6090814213433cb8d4e07bd583,VolatileV2 AMM - USDC/EXTRA (vAMMV2-USDC/EXTRA),Dex,"306,943.82",0.18%
0xf4f2657ae744354baca871e56775e5083f7276ab,VolatileV2 AMM - USDC/WETH (vAMMV2-USDC/WETH),Dex,"255,794.58",0.15%
0xd28f71e383e93c570d3edfe82ebbceb35ec6c412,Uniswap V3(USDC-DAI),Dex,"225,348.43",0.13%
0x605cce502dee6bd201b493782e351e645d44abbb,StableV2 AMM - USDC/ERN (sAMMV2-USDC/ERN),Dex,"209,386.04",0.12%
0x2f748ee75538ccee11ec5f523084e810023d8c21,StableV2 AMM - USDC/USX (sAMMV2-USDC/USX),Dex,"209,113.47",0.12%
0x0bca65bf4b4c8803d2f0b49353ed57caaf3d66dc,rhino.fi,Dex,"152,832.01",0.09%
0xe0b1da86d17b884c4d246e218a67ae3466ad841c,Velodrome V2(USDC-PERP),Dex,"144,862.18",0.08%
0x3aebe5b4b47a8a71ceb66cc0989fc0c81b2c66cd,VolatileV2 AMM - USDC/MTA (vAMMV2-USDC/MTA),Dex,"142,276.25",0.08%
0xe2101d19b78e695982975cc1a27b6a9117e02b09,Uniswap V3(USDC-sUSD),Dex,"120,960.03",0.07%
0x2ab22ac86b25bd448a4d9dc041bd2384655299c4,Uniswap V3(USDC-USDC.e),Dex,"101,751.11",0.06%
0x36e3c209b373b861c185ecdbb8b2ebdd98587bdb,StableV2 AMM - USDC/USDC (sAMMV2-USDC/USDC),Dex,"79,488.62",0.04%
0xe8309787a1a79461205644aec92d0149a4a95361,StableV2 AMM - USDA/USDC (sAMMV2-USDA/USDC),Dex,"74,628.24",0.04%
0xf9741dbe322abd7fd6dd75e35beb3271236d2c11,VolatileV2 AMM - USDC/NEXT (vAMMV2-USDC/NEXT),Dex,"65,855.60",0.03%
0xadab76dd2dca7ae080a796f0ce86170e482afb4a,Uniswap V3(USDC-WBTC),Dex,"63,120.56",0.03%
0x16b0d9b633e163108d286c9430128aa5dbf0d4ec,VolatileV2 AMM - USDC/CYBER (vAMMV2-USDC/CYBER),Dex,"57,274.25",0.03%
0xacdb637584d275a632c0f160d2551f1ae80db009,Uniswap V3(USDC-ERN),Dex,"44,957.56",0.02%
0x707ba27189e8bf89e43b2198e6b88aac4720124f,VolatileV2 AMM - USDC/TAROT (vAMMV2-USDC/TAROT),Dex,"43,961.58",0.02%
0xf8bfd2c99409cfa2abfb94448ab967288010399e,VolatileV2 AMM - USDC/SONNE (vAMMV2-USDC/SONNE),Dex,"28,468.03",0.01%
0x67f56ac099f11ad5f65e2ec804f75f2cea6ab8c5,VolatileV2 AMM - USDC/OP (vAMMV2-USDC/OP),Dex,"21,801.69",0.01%
0x894d6ea97767ebecefe01c9410f6bd67935aa952,VolatileV2 AMM - USDC/SNX (vAMMV2-USDC/SNX),Dex,"19,114.37",0.01%
0x30162a70b4e803742a69165a01e60648fcd02f3a,VolatileV2 AMM - USDC/IPT (vAMMV2-USDC/IPT),Dex,"15,340.86",0.00%
0x514368971b20656ba6664ea87aaae7edd34913d0,Velodrome V2(USDC-CWA),Dex,"9,202.18",0.00%
0x80961cd7ac543c5e16557889d759452a1c7dbdb5,Uniswap V3(USDC-THALES),Dex,"8,378.66",0.00%
0xb84c932059a49e82c2c1bb96e29d59ec921998be,VolatileV2 AMM - ITP/USDC (vAMMV2-ITP/USDC),Dex,"8,039.52",0.00%
