Address,Address Tag,Type,Token Balance,Percentage
0xd839c179a4606f46abd7a757f7bb77d7593ae249,Coinbase,Eoa,"3,441,168.06",2.04%
0xa46af29ba5473dd60b3d9ed4c358b21eeda96903,-,Eoa,"2,750,000.00",1.63%
0x804e456b8229fcb9b617656b0df0acb06e77bf9d,-,Eoa,"2,750,000.00",1.63%
0x49ef7c94d2bf95a3fd4a1beec3bee724f4975ab5,-,Eoa,"2,750,000.00",1.63%
0xa0c7671ff3e4266e5658bf7ba9a0f3545fc12d51,-,Eoa,"2,750,000.00",1.63%
0x62e34f05ff503bf53a5f78835e3d53823d00a8b7,-,Eoa,"2,750,000.00",1.63%
0x276fad0cf8acdafaf33cdff6d774615321b1ba70,-,Eoa,"1,826,496.25",1.08%
0x8af3827a41c26c7f32c81e93bb66e837e0210d5c,Kraken:Hot Wallet,Eoa,"1,446,958.39",0.85%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"1,390,272.09",0.82%
0xd1e859c8fbb8acdcc8e815c70d33b6aca58fde8a,OKX:Hot Wallet,Eoa,"858,973.33",0.51%
0xcf4b5a4c1299f5cbb422555b7d775e66d3ec9c62,-,Eoa,"788,024.58",0.46%
0x0f4eba41928feac1a760ed4eafdc61d7baf91a94,-,Eoa,"761,840.13",0.45%
0x3fdf3c4bf8783bb94295b9219df74a648f397360,-,Eoa,"729,427.00",0.43%
0xd27047fe310178316b3acc4746e2a30823bb9186,-,Eoa,"615,550.32",0.36%
0x8a161a996617f130d0f37478483afc8c1914db6d,Crypto.com Deposit Address,Eoa,"596,612.08",0.35%
0x5122e9aa635c13afd2fc31de3953e0896bac7ab4,Coinbase,Eoa,"521,574.34",0.30%
0x7a8bec249528b16b21f31c9b649802b0408bb39e,-,Eoa,"428,909.87",0.25%
0x37d655d36e7bb5706abdcfc5f5e5e7f4e66928e8,-,Eoa,"369,772.95",0.21%
0x02a78632215262a94ce8651846e7d22adc98ce3c,-,Eoa,"306,634.71",0.18%
0x90e88a93c2ddc1127ee787d3fb6c84c29a1adf15,-,Eoa,"287,403.12",0.17%
0xe4516477adacc6682cf18069475f676a5b5667f9,BingX:Cold Wallet,Eoa,"269,965.15",0.16%
0x337a34e03cac1f41ffdcda14567fb56e7e5f9471,-,Eoa,"265,812.34",0.15%
0x218dedec38499fd5016fce468fcdf7bac28bba37,-,Eoa,"249,507.63",0.14%
0xe0b7a39fef902c21bad124b144c62e7f85f5f5fa,HTX:Hot Wallet,Eoa,"239,822.40",0.14%
0x0bd27fac898a59680b9dc92bb7378df610825e8d,last,Eoa,"235,220.15",0.13%
0x124c4a66ab2272a23d0cd998b91deb5569d3b070,-,Eoa,"228,534.60",0.13%
0x4f99900569fbc18c5d6a1da65eede8b8925230e8,-,Eoa,"218,975.30",0.13%
0xbabe777e1a43053c273bd8a4e45d0cb6c20f8fc6,-,Eoa,"216,339.69",0.12%
0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,BingX,Eoa,"215,959.49",0.12%
0x3205dbab7b8d704ed05bc72234178d61058c10ca,-,Eoa,"209,461.16",0.12%
0x85d9aef1ec67356a0d60c3abe5adb2e1db9de963,Zero Hash,Eoa,"207,010.01",0.12%
0xeeafee820cfa6caf5a33c5cb64d98da6d7feb5f8,-,Eoa,"200,000.00",0.11%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,"194,677.02",0.11%
0x243afd8dc47f50364ce6759a67c81fd6bd211d8b,Bybit Deposit Address,Eoa,"194,404.36",0.11%
0x66d21daf49299e55c8271dcdc682e57d0fa67dc8,-,Eoa,"185,944.43",0.11%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,Eoa,"179,817.10",0.10%
0x06b23dc3fb948fd800dcad8a800b60fd0e5401bc,-,Eoa,"160,000.00",0.09%
0x2a00ffa67f7ab326383d8c9c54aeb9743bd37885,-,Eoa,"153,270.50",0.09%
0x2ba7d13680a05c22c0777ba635583b936fef54d3,-,Eoa,"152,401.00",0.09%
0xa88f86e5685fca7c5d6de0e4d944875b007137b5,BingX,Eoa,"152,325.98",0.09%
0x5e1bc7db5dc77b8399af0b997bfe2d3a14b2cf5f,-,Eoa,"141,319.35",0.08%
0xef9833908a40608f3108bed0a504cde5a28acdc3,-,Eoa,"139,791.20",0.08%
0x54ecb3397b0bf31cb0b81eb2444e2a7b32507d8b,-,Eoa,"137,386.61",0.08%
0x71778c4318c04c9c2e0501875265b03f06e6732b,-,Eoa,"136,267.99",0.08%
0x323f5bb64b34e259ed16ccc3f5037f4857a684df,-,Eoa,"133,259.75",0.07%
0x0f3e41b608e686e182172385f02209455af90770,-,Eoa,"132,815.95",0.07%
0xcd862856f6886e78aca03340f792fbe6ae9294ea,-,Eoa,"132,661.17",0.07%
0xbdbeb531be4f62529d68887b039f74ad0a3815df,-,Eoa,"127,000.00",0.07%
0x56f2f53552a5f0f62c4f965f1c6648eeb2ecc5ac,-,Eoa,"121,365.77",0.07%
0x171dc555b436cd916942bd7064eec144e437bfc8,-,Eoa,"114,204.52",0.06%
0x567f8f7ef42fea30438d4fd4497113bc385c28bb,-,Eoa,"113,947.13",0.06%
0x716504a3568cb78dd8cd3eb977dce5c4beef6b00,-,Eoa,"113,345.56",0.06%
0xd5607a733d0b0500c332ce4f130069838f1262f7,-,Eoa,"111,999.14",0.06%
0xd004f82a4df3d07c372b26fc9b4d4d4199fc4f9a,-,Eoa,"111,115.11",0.06%
0x0985e91a7b749b81830efd8e90fc0feb4783bcc9,-,Eoa,"107,235.03",0.06%
0x48a5a6a01ba89cddf97d2d552923d5a11401ed19,-,Eoa,"103,464.93",0.06%
0xa24727b0b849732db0258b6fe1b7f3e325d40f76,-,Eoa,"100,614.89",0.05%
0x682a2fded192484942b7259642fb81ee477e109e,-,Eoa,"100,000.00",0.05%
0x701c6995ff1f0328b933c5bf99ddd8a9e0f68aa5,-,Eoa,"99,946.47",0.05%
0x8ed880099dd748f2995e07b6dec87f8c6932c558,-,Eoa,"98,850.94",0.05%
0xcaec58aecc0f4de9ddc7082206a041767bcaec12,-,Eoa,"97,339.89",0.05%
0xaccc1fe6537eb8eb56b31ccfc48eb9363e8dd32e,-,Eoa,"96,355.31",0.05%
