Address,Address Tag,Type,Token Balance,Percentage
0x1337bedc9d22ecbe766df105c9623922a27963ec,Curve.fi DAI/USDC/USDT (3CRV),Dex,"3,817,816.46",0.41%
0xffbd695bf246c514110f5dae3fa88b8c2f42c411,Rubicon,Dex,"862,729.08",0.09%
0xe08d427724d8a2673fe0be3a81b7db17be835b36,StableV1 AMM - USDC/USDT (sAMM-USDC/USDT),Dex,"685,373.88",0.07%
0x9ed87916f525b0981325ab42f1b1242b8b8238b5,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,"508,663.03",0.05%
0xf1f199342687a7d78bcc16fce79fa2665ef870e1,Uniswap V3(USDC.e-USDT),Dex,"348,139.78",0.03%
0xfaf037caafa9620bfaebc04c298bf4a104963613,Uniswap V3(NBL-USDT),Dex,"321,295.76",0.03%
0x64cfb034b5f0366329df47bf110fa1409278f3b4,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,"135,182.88",0.01%
0xa73c628eaf6e283e26a7b1f8001cf186aa4c0e8e,Uniswap V3(USDC-USDT),Dex,"77,494.33",0.00%
0x7bc815ca2c2115f896bb14b31b8196388c05e99b,Uniswap V3(ZCHF-USDT),Dex,"63,968.26",0.00%
0xae99efe6b04bbe5b8b4ad567946fb84b35681abb,Uniswap V3(USDT-USDT),Dex,"63,186.38",0.00%
0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,ClipperDirect Pool Token (CLPRDRPL),Dex,"60,518.16",0.00%
0xe8b8bff1e415258eb3d5fa8deee9c38406e609cd,StableV2 AMM - USDT/LUSD (sAMMV2-USDT/LUSD),Dex,"43,732.26",0.00%
0x93374c8c02d3f61d09d2ab6390e57441e0563ef5,Uniswap V3(THALES-USDT),Dex,"34,470.86",0.00%
0xd9dd34576c7034beb0b11a99afffc49e91011235,Uniswap V3(ZRO-USDT),Dex,"32,865.22",0.00%
0xdbd4ffc32b34f630dd8ac18d37162ec8462db7db,ClipperDirect Pool Token (CLPRDRPL),Dex,"27,448.08",0.00%
0x6452f2a3f740abd36f166658f9abedb95e071a19,Hashflow,Dex,"5,795.14",0.00%
