Address,Address Tag,Type,Token Balance,Percentage
0x7217f8a697713f6f7de06cfcd80b76a2cba375f0,Kraken:Hot Wallet,Eoa,"18,135,875.15",1.97%
0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,BingX,Eoa,"12,065,938.65",1.31%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"9,043,767.39",0.98%
0xa88f86e5685fca7c5d6de0e4d944875b007137b5,BingX,Eoa,"3,724,914.92",0.40%
0xdbc0e13881380a87569bb6e851e4ca0623f3fe14,-,Eoa,"3,478,772.91",0.37%
0xf71c98b3025baa6d1c15148429a9f2f1ce952e8c,-,Eoa,"2,954,234.65",0.32%
0x8a161a996617f130d0f37478483afc8c1914db6d,Crypto.com Deposit Address,Eoa,"2,534,596.62",0.27%
0xe4516477adacc6682cf18069475f676a5b5667f9,BingX:Cold Wallet,Eoa,"2,410,694.95",0.26%
0xd27047fe310178316b3acc4746e2a30823bb9186,-,Eoa,"1,153,185.86",0.12%
0xb1feccccaad6429899a9401dcb19f58a19d1afe6,Gate.io Deposit Address,Eoa,"1,059,336.87",0.11%
0xb643d99c6a25e9cc15ee568215d0f47a4abb2b07,-,Eoa,"966,200.00",0.10%
0x67f1d15921f08d26c41cf732e37a6be36f11e556,-,Eoa,"671,144.40",0.07%
0xfe7ad27596ca67a134cc227fcceee02fd7bacc46,Bitkub:Hot Wallet,Eoa,"661,060.37",0.07%
0xba34ff24b68e2a05652dd15efb869cc6d5d772bc,-,Eoa,"602,756.40",0.06%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,"525,956.44",0.05%
0x4b2cad10b86c42fb79518d0ee4905d2868a77d42,-,Eoa,"367,437.73",0.04%
0x6729402ddea7d204bf6c0a3f4bcaee6ff0031e5b,OKX Deposit Address,Eoa,"340,273.49",0.03%
0x02a78632215262a94ce8651846e7d22adc98ce3c,-,Eoa,"305,469.55",0.03%
0x505ab439060bb5f69acf4e539d06ca27846ae45d,-,Eoa,"305,274.75",0.03%
0xbb827bd031ca29e93f0d448763cd002d946f0761,-,Eoa,"259,390.35",0.02%
0x7516e7d47b1c2adac14df78b0fbffbe24f6d0a0a,-,Eoa,"204,605.06",0.02%
0xd3487e013dcff0afc7492e374129024eabd1e681,-,Eoa,"200,009.22",0.02%
0x66d21daf49299e55c8271dcdc682e57d0fa67dc8,-,Eoa,"195,105.99",0.02%
0xb7fc30d051003e14ec7a9a068e69d66075e16d21,-,Eoa,"189,200.00",0.02%
0xeeafee820cfa6caf5a33c5cb64d98da6d7feb5f8,-,Eoa,"187,029.89",0.02%
0x7eb87a95948348d6ec7231b52f61281e01d53941,-,Eoa,"183,793.40",0.02%
0x0f3e41b608e686e182172385f02209455af90770,-,Eoa,"181,370.59",0.01%
0x11235534a66a33c366b84933d5202c841539d1c9,-,Eoa,"178,614.97",0.01%
0xe6d3330ff3163c296d80a87f23e9632c974d034e,-,Eoa,"159,845.95",0.01%
0x283bc34e2d995de1b0f1dbc11766f0094eed5633,-,Eoa,"152,416.35",0.01%
0xc3d37c976ebf88ac9e2cdadbd9a383c410cff655,-,Eoa,"150,020.20",0.01%
0xfc8c23c93cf0835cabcad3b5a6a8623c598a7934,-,Eoa,"150,000.00",0.01%
0x5788e790adb0913fd8e837a7c509cb05ea8141e4,-,Eoa,"150,000.00",0.01%
0x268f8c596d556e6c51f594d8ca8d6183010871b7,OKX Deposit Address,Eoa,"144,385.39",0.01%
0x979be77377190e4c12ff1b5f877dace9172b2cfb,-,Eoa,"139,155.57",0.01%
0x788e72ac24344ce7b7725421f468a043866d6ccd,-,Eoa,"126,493.84",0.01%
0xb46b909be665d75f833be22c6e6285ba5ad74dfa,-,Eoa,"125,330.63",0.01%
0x323f5bb64b34e259ed16ccc3f5037f4857a684df,-,Eoa,"123,180.40",0.01%
0x7bf61e825899a552b67bf3aa7e7a1a714a0d4fda,-,Eoa,"117,628.91",0.01%
0x22d29c9f5f76f3588bbd6373f501c6f87d9f1bc0,-,Eoa,"113,808.72",0.01%
0xb8b9977a5b8920ad74ff3eea8d0267d09cb86926,-,Eoa,"106,283.95",0.01%
0xacacb98d4419e37aec57b738f7b2f6982d0075bb,-,Eoa,"104,861.06",0.01%
0x0f67719c61d9e3f5d365fe499f1eeb3209e3bb5d,-,Eoa,"102,362.78",0.01%
0x5f01633a1c81d5d1d3b82dff6da8dbe039465c4a,-,Eoa,"101,023.06",0.01%
0x1ada84f5bb1d6361af45946d97b1f38783044c80,-,Eoa,"100,698.41",0.01%
0x5a28b422507e8a83c8006e83ba7cba6f189e0fd7,-,Eoa,"100,000.00",0.01%
0x6fc8769c5b4d6e013408c8289f64df335ff855d3,-,Eoa,"100,000.00",0.01%
0xa71b2d4a865628db1287a706f1d83f18897324a0,-,Eoa,"99,999.25",0.01%
0x08a4b1d413ecdda679a255a551d040d562b0a080,-,Eoa,"99,950.85",0.01%
0xc8c2b727d864cc75199f5118f0943d2087fb543b,QCP Capital,Eoa,"97,772.89",0.01%
0xab66e60badaea8f90fa5b0da7ab404100641eb6e,-,Eoa,"96,796.55",0.01%
0x5bc2eb884c00f92d31cce176d89cb8fba0e0388c,-,Eoa,"96,241.47",0.01%
0xbae728c0e618c5232a7d23f5a8ecb307fb6cb257,-,Eoa,"92,860.09",0.01%
0x2fb8c7ae749ebc21f280362874759ebeadabb1b9,-,Eoa,"92,001.70",0.01%
0x604f127145cac2467389124f0871227d3fd6f628,-,Eoa,"91,627.44",0.01%
0xd9a1ed9aac149bf9bd655f9b9ddecf9bd04316b3,Flow Traders,Eoa,"90,700.13",0.00%
0x5f77b0df59e5e4277ac298def75ee7196626836d,-,Eoa,"88,442.90",0.00%
0xad51dd8e098459ef38f9435b47b0ee9c91c9f24a,-,Eoa,"85,535.01",0.00%
0x4bab38aac015ac40bd6d50fd7b6e90557403d61d,-,Eoa,"82,993.62",0.00%
0xf491d040110384dbcf7f241ffe2a546513fd873d,Coinbase,Eoa,"82,760.01",0.00%
0x7c0046b931716952409367fdd57692458734a948,Crypto.com:Hot Wallet,Eoa,"81,698.55",0.00%
0xea01c23b82f5b13a811ae49100e2b9008b1e6aee,Ceffu:Custody Hot Wallet,Eoa,"80,714.95",0.00%
0x19b15192d21f50e0b52a131140b6dffb756feded,-,Eoa,"79,999.86",0.00%
0x6c69fa64ec451b1bc5b5fbaa56cf648a281634be,BingX,Eoa,"79,145.85",0.00%
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,Woo Network,Eoa,"77,412.00",0.00%
0xbe6bd72d31df5fe035ed53ffe6655362249f6d76,eth2-depositor,Eoa,"75,000.00",0.00%
0x013601f29aad598f1fec964fb16ce30c044124e1,-,Eoa,"74,869.16",0.00%
0xaa3c0d713949139031ef55cfa297983ad528bcf6,OKX Deposit Address,Eoa,"72,999.20",0.00%
0x01fbac459a8e21f1506bf15277a8313a9ceafdcd,-,Eoa,"72,924.05",0.00%
0xf78c068032ae223641b6d997f57f9ab881485be3,-,Eoa,"67,138.54",0.00%
0x6261c152c06889a5706cc41764fd559fcb75e4de,-,Eoa,"66,808.12",0.00%
0xa4bce756033c95042c5778c565d322d55c3165ee,eth2-depositor,Eoa,"66,255.99",0.00%
0x703e50af7e055c6c9ac83d72255caacd62400bca,-,Eoa,"65,516.98",0.00%
0xf5a0ee0e72ae89a34ad50ef56e09cd33154e03bc,-,Eoa,"63,693.50",0.00%
0x7858267c70a407d7105fb12a2eddc2feda90ef4e,-,Eoa,"60,592.28",0.00%
0x12b5cc28460251a7c53b23d13c39c56c6c7241b4,-,Eoa,"60,277.88",0.00%
0xb1ef5f7eb05311c0118942c0c896f32dbccfba4f,-,Eoa,"60,043.00",0.00%
0x19deab81e77fe551d3d096b54b3ef9b8b29f34cb,-,Eoa,"60,000.01",0.00%
0x4dcba122d0ab15ee406acbcd38b8116138c16312,-,Eoa,"59,275.82",0.00%
0xcf737b9b39a7ab615983468c3e837585a38495e4,-,Eoa,"58,879.36",0.00%
0x6c2a3f4499ff0c6e631f8fecef57a58abd0cfed9,-,Eoa,"58,243.26",0.00%
0x20ffe0d07d7f7c2c21a24537538b4cde06c9048a,XeggeX,Eoa,"58,023.05",0.00%
0xe83f8197a0ced0e882cbfac975d56ad90f987af4,-,Eoa,"57,859.44",0.00%
0x5e0f185bcb55eea0f2cb8a4e074f903cab3272ce,-,Eoa,"57,665.99",0.00%
0x6955f4324834abeb581c358d1cd81e8e74510e6e,-,Eoa,"56,373.81",0.00%
0xc81dab1bcaa894c5dc6b8d905ccb494084ae9de9,-,Eoa,"56,000.00",0.00%
0x904b9a7d922e181226375943391323aea9c5cd72,-,Eoa,"55,800.00",0.00%
0xac8777e09acae7816ce3c598ca85293dda3e3b72,-,Eoa,"55,397.38",0.00%
0xb0a6f90f11c5ae94e30476a7534191194492a91b,-,Eoa,"54,660.98",0.00%
0xeb3076445fd8f8ac208516879382114282cb30cd,-,Eoa,"53,084.00",0.00%
0xe0028eb5ae51384418e07cad373dae8f396ad707,-,Eoa,"51,578.41",0.00%
0x52a258ed593c793251a89bfd36cae158ee9fc4f8,BetFury,Eoa,"50,751.03",0.00%
0xaebb8fdbd5e52f99630cebb80d0a1c19892eb4c2,IgnightCapital,Eoa,"50,511.09",0.00%
0xae0f77c239f72da36d4da20a4bbdaae4ca48e03f,-,Eoa,"50,435.07",0.00%
0x195a85f9f9defedfc62deb2a44602a77e5b573cd,The_Brick,Eoa,"50,055.91",0.00%
0x9d8dce3514ec9d4f0adccf4b0982e27bfcb2efc0,-,Eoa,"50,010.70",0.00%
