Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet,Exchange,"629,663,306.93",68.64%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"90,909,468.51",9.91%
0xacd03d601e5bb1b275bb94076ff46ed9d753435a,Binance 1,Exchange,"25,562,919.43",2.78%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"24,888,721.93",2.71%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"2,529,471.23",0.27%
0xebe80f029b1c02862b9e8a70a7e5317c06f62cae,OKX,Exchange,"2,416,801.41",0.26%
0xdf90c9b995a3b10a5b8570a47101e6c6a29eb945,MEXC: OP Hot Wallet,Exchange,"2,368,433.85",0.25%
0xebb8ea128bbdff9a1780a4902a9380022371d466,Kucoin,Exchange,"600,826.45",0.06%
0xc8373edfad6d5c5f600b6b2507f78431c5271ff5,Coinbase,Exchange,"399,421.88",0.04%
0xa3f45e619ce3aae2fa5f8244439a66b203b78bcc,Kucoin,Exchange,"398,977.85",0.04%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,"62,977.65",0.00%
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,CoinDCX 2,Exchange,"11,499.70",0.00%
