Address,Address Tag,Type,Token Balance,Percentage
0xc2aa89ac54815aab8195a52983117e9fef03a719,-,Eoa,27.02,1.61%
0xef800da960d272dbb37c32d06d14cdcfb19b0193,-,Eoa,15.56,0.92%
0xd9a1ed9aac149bf9bd655f9b9ddecf9bd04316b3,Flow Traders,Eoa,14.20,0.84%
0xa4cff481cd40e733650ea76f6f8008f067bf6ef3,-,Eoa,13.96,0.83%
0xd44d559d5ff4b288c865340c78817d3b14b979a9,-,Eoa,12.27,0.73%
0x4282890ff9661a51ea367aeddf341c6f6395d4e1,-,Eoa,8.49,0.50%
0xe952b29e749ddaaabd7a4855584d5becd5cd65bb,-,Eoa,7.45,0.44%
0xe52f5349153b8eb3b89675af45ac7502c4997e6a,Manifold Trading,Eoa,7.25,0.43%
0x1ee95bbd8d25ab561da17c464520af14a8943314,-,Eoa,5.65,0.33%
0x20782263d459e3b0ea8e3b825e5017c80248728e,-,Eoa,5.00,0.29%
0x0172e05392aba65366c4dbbb70d958bbf43304e4,-,Eoa,3.99,0.23%
0xec53ab6f6a2c5112c2a361d1f2b01f170824a5ce,-,Eoa,3.72,0.22%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,Eoa,3.51,0.20%
0x8c2cb288ab3d18b92826d980313ddad33cfbc920,-,Eoa,3.29,0.19%
0xcfd82d89c474903c28e0e62512ade47e60a7280a,-,Eoa,3.21,0.19%
0xbc4beb05b75e3e701c087dd376887d04cb373454,-,Eoa,2.86,0.17%
0x48657efadf4629c40c2a76893fa06045bdedbd17,-,Eoa,2.75,0.16%
0xe01a40a0894970fc4c2b06f36f5eb94e73ea502d,-,Eoa,2.51,0.15%
0xcf2c181e33c5e9f72928c1e8975ff4a9bfe77e32,-,Eoa,2.24,0.13%
0x66bf43cc844a3c6b69d4c5aa39ba97f1e73f9bed,-,Eoa,2.09,0.12%
0x0965cdd8e39a9b37654bccf241a613487c69e1ef,-,Eoa,2.05,0.12%
0xef6f2855fb78e4efebc9dd2b982a95d4c5fde882,-,Eoa,2.04,0.12%
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,-,Eoa,2.01,0.12%
0x572b4de5be467f6e7210f77940d462b9b8ef3ea5,mirror author,Eoa,2.00,0.11%
0x24d02e64d4a2580d570666546ac937adab2b3e08,dastin,Eoa,2.00,0.11%
0x68cd0d2bf68e54ea2d3feb090ff6683a99a0eec2,-,Eoa,2.00,0.11%
0x53585fed785a79b15c2ef42b6f85c86e91c07c65,-,Eoa,1.90,0.11%
0x7eb71d68181f2d219eef78d834f6ba97d870ae85,samkb,Eoa,1.80,0.10%
0x103224e85be4f028237e0710f67cc88804338855,-,Eoa,1.62,0.09%
0x51b8bd8104439f243eee1874caab7fb49cd27ca5,-,Eoa,1.60,0.09%
0x292952031a43d0326ae71813d76f96b5d6e004d2,-,Eoa,1.59,0.09%
0x7051df7da9209f6c4dbc97f3295ba53584c08353,-,Eoa,1.56,0.09%
0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,-,Eoa,1.52,0.09%
0x145d9df4c64a6b4b50766f54a76d0eb12d93fda7,-,Eoa,1.50,0.08%
0xc02ab1d061c3db63f608b5f26e85c875900e2395,-,Eoa,1.49,0.08%
0xa94724f2aa3f87035f9b92a71cf8f3cf96839073,-,Eoa,1.38,0.08%
0xce65a2b43efccd13d7a7adf2ffb0c72acde0b2f1,-,Eoa,1.37,0.08%
0xf491d040110384dbcf7f241ffe2a546513fd873d,Coinbase,Eoa,1.36,0.08%
0x6abadbd5320bf25b349242ebfc7fa293601ea47f,qiqray,Eoa,1.31,0.07%
0xea2b265bce07244037ea95de3b124d486bc61ae8,-,Eoa,1.26,0.07%
0x9a51d3c98f53874dc7f781ba94c0ff5a5673c70d,-,Eoa,1.24,0.07%
0xbcb9c5e230786ec2e39e131dd6c6337abc9f170e,palemoon_eth,Eoa,1.17,0.07%
0x6d9348910e6ed90c1bb170c47965f5f7b8e19763,-,Eoa,1.15,0.06%
0x4eb830651583256455180270166acf753df16095,-,Eoa,1.14,0.06%
0xae61c1fdbe1feb2a65ca983d28c0317e21254e84,-,Eoa,1.06,0.06%
0x7472c48649d797e06022f28f4a8f58cb1c001b27,-,Eoa,1.03,0.06%
0x6e2e4991ebc00841e10419065c966b613bc4a84b,-,Eoa,1.02,0.06%
0x945d5bcda8dcd9cd8b221fd23cf4b6c0e7e50bd5,piotrmisiurek,Eoa,1.02,0.06%
0xcabb355e8e4a0f93639bf2957321ed9e0ee3fa4a,-,Eoa,1.02,0.06%
0x59bdfb381ca2080d0d042903e776d3dcb548050a,mattsilv,Eoa,1.01,0.06%
0x93df2bea2e66d8c4fe547262bb07975d2774469d,-,Eoa,1.00,0.05%
0x5d92badd133a18e29de18c46464b5cf9d8648bdf,-,Eoa,1.00,0.05%
0xd357f9b94a0e06e8d4e62b44052991e5b8bcff4a,-,Eoa,1.00,0.05%
0x4197fcd40a8c1b234f79234ef1705dc6329cd90c,-,Eoa,1.00,0.05%
0xd9c1b7989d6fdba89aa477ca09a1be824474db3e,-,Eoa,1.00,0.05%
