Address,Address Tag,Type,Token Balance,Percentage
0x2b1c7b41f6a8f2b2bc45c3233a5d5fb3cd6dc9a8,KyberSwap v2 NFT Positions Manager (KS2-NPM),Dex,"8,008.47",3.22%
0xbf205335de602ac38244f112d712ab04cb59a498,StableV1 AMM - wstETH/WETH (sAMM-wstETH/WETH),Dex,"6,174.89",2.48%
0xa3128d9b7cca7d5af29780a56abeec12b05a6740,0x,Dex,"4,112.32",1.65%
0xfd7fddfc0a729ecf45fb6b12fa3b71a575e1966f,StableV1 AMM - WETH/sETH (sAMM-WETH/sETH),Dex,"3,296.90",1.32%
0xb0be5d911e3bd4ee2a8706cf1fac8d767a550497,Rubicon,Dex,"1,400.04",0.56%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ParaSwap,Dex,"1,262.84",0.50%
0x68f5c0a2de713a54991e01858fd27a3832401849,Uniswap V3(WETH-OP),Dex,"1,068.70",0.43%
0x79c912fef520be002c2b6e57ec4324e260f38e50,VolatileV1 AMM - WETH/USDC (vAMM-WETH/USDC),Dex,791.61,0.31%
0x69f795e2d9249021798645d784229e5bec2a5a25,StableV1 AMM - WETH/rETH (sAMM-WETH/rETH),Dex,762.96,0.30%
0xf334f6104a179207ddacfb41fa3567feea8595c2,Uniswap V3(WETH-LYRA),Dex,423.69,0.17%
0xcdd41009e74bd1ae4f7b2eecf892e4bc718b9302,VolatileV1 AMM - WETH/OP (vAMM-WETH/OP),Dex,418.00,0.16%
0x6fd5bee1ddb4dbbb0b7368b080ab99b8ba765902,StableV1 AMM - alETH/WETH (sAMM-alETH/WETH),Dex,389.78,0.15%
0x17d99c78f1aa7870ab30fb3e93b2fe9f6502d192,VolatileV1 AMM - WETH/BIFI (vAMM-WETH/BIFI),Dex,313.92,0.12%
0xff7fbdf7832ae524deda39ca402e03d92adff7a5,Uniswap V3(THALES-WETH),Dex,313.49,0.12%
0x112d7a717a617c25a91b1c261708cce6831474b4,StableV2 AMM - pxETH/WETH (sAMMV2-pxETH/WETH),Dex,284.60,0.11%
0xac85eaf55e9c60ed40a683de7e549d23fdfbeb33,Uniswap V3(WETH-WETH),Dex,230.75,0.09%
0x1fb3cf6e48f1e7b10213e7b6d87d4c073c7fdb7b,Uniswap V3(USDC-WETH),Dex,210.78,0.08%
0x6ea20dbc05f58ed607c374e545bfb402d5796770,VolatileV2 AMM - WETH/TLX (vAMMV2-WETH/TLX),Dex,193.79,0.07%
0xf3c45b45223df6071a478851b9c17e0630fdf535,Velodrome V2(EXA-WETH),Dex,166.62,0.06%
0x7a512d3609211e719737e82c7bb7271ec05da70d,Rubicon,Dex,158.70,0.06%
0x36e42931a765022790b797963e42c5522d6b585a,Uniswap V3(WETH-KWENTA),Dex,139.23,0.05%
0x3eec44e94ee86ce79f34bb26dc3cdbbee18d6d17,VolatileV1 AMM - WETH/AELIN (vAMM-WETH/AELIN),Dex,136.55,0.05%
0x535541f1aa08416e69dc4d610131099fa2ae7222,Uniswap V3(WETH-PERP),Dex,124.27,0.05%
0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,VolatileV2 AMM - WETH/wrsETH (vAMMV2-WETH/wrsETH),Dex,97.03,0.03%
0xf4f2657ae744354baca871e56775e5083f7276ab,VolatileV2 AMM - USDC/WETH (vAMMV2-USDC/WETH),Dex,80.91,0.03%
0xda74db17023750d02b83be2559a4eaa013b65c54,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,71.80,0.02%
0xe62bd99a9501ca33d98913105fc2bec5bae6e5dd,Uniswap V3(WETH-KROM),Dex,58.01,0.02%
0xcc441718f7f50d55f497fd37e3f3f3fe4789cf6b,VolatileV1 AMM - WETH/HOP (vAMM-WETH/HOP),Dex,52.47,0.02%
0x146b020399769339509c98b7b353d19130c150ec,Uniswap V3(HAI-WETH),Dex,47.67,0.01%
0xd35937ecd47b04a1474f8569f457fc5ac395921a,Uniswap V3(HAKU-WETH),Dex,31.91,0.01%
0xa8e4fa96327c5a93e159bd781f3ccfd860519d82,VolatileV2 AMM - WETH/MET (vAMMV2-WETH/MET),Dex,31.56,0.01%
0x6da87897bb36d0e2bc4e69c407935bcc7fa9d9c9,VolatileV2 AMM - WETH/DHT (vAMMV2-WETH/DHT),Dex,30.97,0.01%
0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,Uniswap V3(USDC-WETH),Dex,29.87,0.01%
0x69a9b0f791507c50b413d24abb761acb5ac52728,VolatileV2 AMM - RING/WETH (vAMMV2-RING/WETH),Dex,28.67,0.01%
0x2a087fd694debec1ed61e0740bd0810b804da8f0,Uniswap V3(HAI-WETH),Dex,28.55,0.01%
0x5e8b0fc35065a5d980c11f96cb52381de390b13f,Uniswap V3(WETH-AELIN),Dex,25.31,0.01%
0x292243fbfe156b097705ef666cac9f06964e63e4,VolatileV1 AMM - BOND/WETH (vAMM-BOND/WETH),Dex,19.31,0.00%
0x8f477a5d632b5691a10a571575d55dc9c3d86d7c,Uniswap V3(WETH-rETH),Dex,17.62,0.00%
0x28bc0a25dc9581cfd9920ad0d273c006270e00fa,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,16.13,0.00%
0x62191c893df8d26ac295ba1274a00975dc07190c,VolatileV2 AMM - WETH/OPP (vAMMV2-WETH/OPP),Dex,15.80,0.00%
0x2f478e1e09c5232a82532943b960a5f3c16e50ca,StableV2 AMM - WETH/mpETH (sAMMV2-WETH/mpETH),Dex,13.88,0.00%
0xdb1fe6da83698885104da02a6e0b3b65c0b0de80,VolatileV2 AMM - POOL/WETH (vAMMV2-POOL/WETH),Dex,13.77,0.00%
0xbffae96495480581813377448a2bfea4057d627e,VolatileV2 AMM - WETH/FOAM (vAMMV2-WETH/FOAM),Dex,13.73,0.00%
0xdc2b136a9c1fd2a0b9497bb8b11823c2fbf47ac4,Velodrome V2(WETH-GRAIN),Dex,13.36,0.00%
0x1a981daa7967c66c3356ad044979bc82e4a478b9,WETH-USDC (WETH-USDC-ZS),Dex,13.31,0.00%
0x790fde1fd6d2568050061a88c375d5c2e06b140b,Uniswap V3(WETH-AAVE),Dex,12.53,0.00%
0xe870bfe4aacb6e234b645e535d26c53790d50e78,Uniswap V3(CRV-WETH),Dex,12.47,0.00%
0xe896ac7e63e321ead1df79160e2c44061efd66b2,VolatileV2 AMM - WETH/MOLTEN (vAMMV2-WETH/MOLTEN),Dex,12.45,0.00%
0x0e9da98191551c417d25bebe69f2cbe47dfb186f,VolatileV2 AMM - 2192/WETH (vAMMV2-2192/WETH),Dex,12.06,0.00%
0x2f7708fd509d7a60ace6ab22e1e19b3d60e4f77a,Elk Liquidity (ELP),Dex,11.58,0.00%
0xe376642f697b93d071024726ba0a404cb0248dca,Uniswap V3(WETH-frxETH),Dex,11.57,0.00%
0x167dc49c498729223d1565df3207771b4ee19853,WETH-OP (WETH-OP-ZS),Dex,10.84,0.00%
0x7505159f644ddc5eae21c119e328d0d5bee574b0,Uniswap V3(WETH-ZRO),Dex,10.83,0.00%
0x896aca4b614c20dd5ef7450ab7586d87a95241fa,Uniswap V3(wstETH-WETH),Dex,10.48,0.00%
0xe2ba6c35839a52b4800fafe8aa647a96bd67189c,WETH-ZINU (WETH-ZINU-ZS),Dex,10.29,0.00%
0xd0f92f5d756bf223574dfa3ef284a35c3c046289,VolatileV2 AMM - WETH/weETH (vAMMV2-WETH/weETH),Dex,9.58,0.00%
0x84ff74853bb1980afa5f640f8b21a994dd2226a7,Uniswap V3(MASKS-WETH),Dex,9.13,0.00%
0x64185ec6705f2ed9f5f3f87f199bbf6b2f18706f,Uniswap V3(WETH-NBL),Dex,8.75,0.00%
0xda191ecf1a1b9fa1cc2042a1c15ce6f093d1549d,Uniswap V3(WETH-BOB),Dex,8.54,0.00%
0x3249e3e3e4133ee18e65347daf586610cc265f54,Uniswap V3(VELO-WETH),Dex,7.36,0.00%
0x20d33ff7880f65a3554bbee9c4e9bf79812c6ef6,StableV1 AMM - WETH/pETHo (sAMM-WETH/pETHo),Dex,6.67,0.00%
0x2f69c59a033cdf3977274ef14260c83ac2c87ad2,dETH-WETH (dETH-WETH-ZS),Dex,6.63,0.00%
0x3eb92113c00f476512bde4c46920ef0a3d42eb0f,VolatileV2 AMM - MODE/WETH (vAMMV2-MODE/WETH),Dex,5.70,0.00%
0x651ea5496b6e36120f9bf020ec0ea5cfd31c529c,VolatileV1 AMM - PREMIA/WETH (vAMM-PREMIA/WETH),Dex,5.38,0.00%
