Address,Address Tag,Type,Token Balance,Percentage
0x85149247691df622eaf1a8bd0cafd40bc45154a9,-,Eoa,"2,458.91",0.99%
0x6202a3b0be1d222971e93aab084c6e584c29db70,Synthetix:Wrapper,Eoa,"2,453.36",0.98%
0x4bb7f4c3d47c4b431cb0658f44287d52006fb506,Nexo,Eoa,"1,350.11",0.54%
0x0965cdd8e39a9b37654bccf241a613487c69e1ef,-,Eoa,"1,275.97",0.51%
0x6e2e4991ebc00841e10419065c966b613bc4a84b,-,Eoa,"1,048.68",0.42%
0x67161998ec6c7dc2497e83eb55b7024f1e0ec3e4,-,Eoa,"1,001.87",0.40%
0xbd9560e42e93debe726826337953eb36ab22d9f4,-,Eoa,753.49,0.30%
0x31345e8a872c5a34e6264b1c2ad3fc8d13a0734e,-,Eoa,705.78,0.28%
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,TalRasha,Eoa,692.67,0.27%
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,rtsinvestments,Eoa,677.39,0.27%
0xaa30d6bba6285d0585722e2440ff89e23ef68864,Hop Protocol: ETH Liquidity Pool,Eoa,629.48,0.25%
0x360537542135943e8fc1562199aea6d0017f104b,-,Eoa,569.47,0.22%
0x0558044fbcb67cde7c80e4806fbb381f8cb08a45,-,Eoa,518.99,0.20%
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,satofishi,Eoa,517.94,0.20%
0xe67e43b831a541c5fa40de52ab0afbe311514e64,PudgyPenguin,Eoa,500.00,0.20%
0x88888371fdeee796064c48563b84835d764d63b7,-,Eoa,423.44,0.17%
0xe591f77b7d5a0a704feba8558430d7991e928888,-,Eoa,409.43,0.16%
0xdfe4f07d1f36b8d559b25082460a4f6a72531de2,-,Eoa,407.92,0.16%
0xa2d76c09b86cf904f75672df51f859a876a88429,mirror author,Eoa,382.21,0.15%
0x2222a29eb8a8ffb0c16d28400455129052191257,-,Eoa,327.07,0.13%
0x6621295a7fadd3ab78ae6915502bd50fdd5a1491,-,Eoa,325.93,0.13%
0xc143790f399351c25a906bb3fb15630828f8e75e,-,Eoa,294.43,0.11%
0x193db18a5ef9a0320b7374c1fe8af976235f3211,honey_pot,Eoa,259.23,0.10%
