Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,沉淀地址
0xd1bfee745dbb43b4bf79a90078227a640ad5cac0,-,Eoa,"104,900,000.99",0.98%,2024/8/6 6:20,0x9dbea0109bb51a88f7a803e32f546346c26d694ce2b152910b9b2985d25fde43,2116499.997,0xd1bfee745dbb43b4bf79a90078227a640ad5cac0,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,out,
0xe84f75fc9caa49876d0ba18d309da4231d44e94d,Kraken,Eoa,"28,716,109.10",0.26%,2024/8/13 2:13,0x4656152d093b2a18d6558d56c1e9cf84ad2f299fe5f23c20471bfc5969e2d39b,104555.0994,0xdeebaa51368ab32a835d766ebd1859f72c3d6f9c,0xe84f75fc9caa49876d0ba18d309da4231d44e94d,in,
0x2b61287a1447ba6991c705b552b4acf5ff54c114,-,Eoa,"23,329,944.73",0.21%,2024/8/2 8:41,0x02d442286f4e94e4de75d69ebe9ac58e837180a0961540cd87529871ed83608e,423300,0x2b61287a1447ba6991c705b552b4acf5ff54c114,0x0000000000000000000000000000000000001010,out,
0x2ce910fbba65b454bbaf6a18c952a70f3bcd8299,OKX:Internal,Eoa,"22,712,090.50",0.21%,2024/8/5 9:56,0x0f126d64a67f3d1fe3890af7fa0852cde4c486c0bec72893bde9a4705f1b0405,366349.8487,0x2ce910fbba65b454bbaf6a18c952a70f3bcd8299,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,out,
0x79b4fd4011a1c52d2233b24750a12ca5eec2cf38,-,Eoa,"22,107,015.32",0.20%,2024/8/9 5:01,0xdc30d26847fbad0dfe34330221603d76239a1fe94f25ccf8455e83195ea2521e,54738.44237,0x005db1ae3e6956089a761061c2014b6bca05d782,0x79b4fd4011a1c52d2233b24750a12ca5eec2cf38,in,
0x71956a1cd5a4233177f7bf9a2d5778851e201934,-,Eoa,"18,305,753.39",0.17%,2024/8/8 2:17,0xc520c11e899a9c6e1ffed0116bdcb05e0a3bc0c82cf509dfd2ad5835873ff2df,100447.1222,0x0b0f7ebf967146566799229394171fc47f1a765a,0x71956a1cd5a4233177f7bf9a2d5778851e201934,in,
0x4b5d5cfc9d4a5468fcc06663ee4ef4c8cfa96a40,-,Eoa,"17,934,866.96",0.16%,2024/8/6 12:09,0x3081f1e899c3009efb2ac17ab83ad77e020096cca2024da44f23e5c6957661a5,254026.563,0x4b5d5cfc9d4a5468fcc06663ee4ef4c8cfa96a40,0x1a115e378e4e91ed6d27f4b53adccd58cc7bf0b2,out,
0xbdff5cc1df5fff6b01c4a8b0b8271328e92742da,-,Eoa,"13,500,000.95",0.12%,2024/7/1 18:28,0xc3095dfed30ac79e4c6f2d0a18c752cd06547a4b4ce599ba8024ccdacf83704f,2116495.767,0xbdff5cc1df5fff6b01c4a8b0b8271328e92742da,0xc40d8d57b09300babe0682bd8b48be0da16feb9c,out,
0x68bd76deeb37c239c5d6d57f50bf32257546f7f2,-,Eoa,"12,881,791.62",0.12%,2024/8/12 7:51,0x1809e88205d0bd75c50264675345dc433bc3c66d0652c8f1eb535ee21a431e4f,13858.842,0x68bd76deeb37c239c5d6d57f50bf32257546f7f2,0x2d787eb841c047d7a21916bcaa5b93e527e528bb,out,
0xfcbb9e5bb354b6f9fd40362cee043f510dd3028d,-,Eoa,"12,000,000.99",0.11%,2024/4/1 15:57,0xd80fcdb52866b94b59982738b84041aec9623246fbcf2cdd70cf36fabf81dd27,846600,0xf58e6902207a49fe4708ffa03b901b71e3f6138a,0xfcbb9e5bb354b6f9fd40362cee043f510dd3028d,in,
0xcf6bace29c8ed34d8233ea9b6b8ae059d2eaa445,-,Eoa,"11,500,000.02",0.10%,2024/8/5 11:12,0x857f19b81d9ecd2899496972c4a7f5df4e2cee6828441fe9a15f542acdd1501d,321966.213,0xcf6bace29c8ed34d8233ea9b6b8ae059d2eaa445,0x8a63dbaeb1b7e49e12a6b8bf0eb9fa976af24e87,out,
0x101bd2bce771ccd8460279bc3e9472ba621305f1,-,Eoa,"9,668,605.27",0.09%,2024/8/13 1:33,0x48d98e8128af0f0e79184b96906bdbdc898de749dd1c2cf11dc4c43cdd6bee88,25398,0x101bd2bce771ccd8460279bc3e9472ba621305f1,0xfedac8e2b226ea9e9506239dd74f084a67509153,out,
0xd3d877fc323de661ff9e1a38147a1ac679ce7c64,Crypto.com,Eoa,"9,026,633.83",0.08%,,,0,,,,
