Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Amount,From,To,Transfer Type,沉淀地址
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"11,852,366.69",2.94%,2024/8/12 2:12,0xc2d78c8e6267b77cb8c46c479450c41cab06783b6e027db47bcbe52c18e373c3,85468.47219,0x42d9811ccae036fe1ab9fc4f24e6ef67cdc27528,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,in,
0x4d8336bda6c11bd2a805c291ec719baedd10acb9,Coinbase:Hot Wallet,Eoa,"9,239,807.73",2.29%,2024/8/11 20:01,0x650b7cdd32fcb456a6ede66216508af2ebfb3ad32f80893fb10e9b6164e52fed,163481.93,0x4d8336bda6c11bd2a805c291ec719baedd10acb9,0xbf49d1ad911a38bf8244eef9df4471c200f95608,out,
0x3f1e6d87724558312734af6cd91dba4ac17eabff,-,Eoa,"5,873,087.42",1.46%,2024/8/9 16:34,0x3eff19c9ec9c79d8029748c21b07e2fc0bf478be8239f9f117d5ec2ce9ba9e4e,268976.93,0x166716c2838e182d64886135a96f1aabca9a9756,0x3f1e6d87724558312734af6cd91dba4ac17eabff,in,
0xe50481c533a6419c9cf4123edbd106fb655396a6,-,Eoa,"5,251,977.11",1.30%,2024/8/8 14:46,0xcd7d6a8f5b8e6f6d006c05374d341714ce95a702870aabbda9030fd9a7752d4f,140000,0xe50481c533a6419c9cf4123edbd106fb655396a6,0x765a1d6cd34679705311d3b236a1cc8f2cc0fcdc,out,
0x4b6f17856215eab57c29ebfa18b0a0f74a3627bb,Kraken:Hot Wallet,Eoa,"4,816,708.15",1.19%,2024/8/12 1:22,0x95451ba8aaf438520da693a8bb91947c7d03705cd9a08c8f2a487d44fe9a89cb,232775.1406,0x4b6f17856215eab57c29ebfa18b0a0f74a3627bb,0x1259877af74e5f84bcb8adc248a80e33dbc36667,out,
0x2c2301fdb0bfa06eaabaa0122cbceb2265337c25,Crypto.com,Eoa,"3,783,894.10",0.94%,2024/8/11 10:23,0xf9a32831be6a15469c36491945e0c2d171515bc60aff78146d1dc91bc6c08739,12151.44032,0x025ba5d2f4697fcab4b5e5eefaf0f5dbf4c73ffb,0x2c2301fdb0bfa06eaabaa0122cbceb2265337c25,in,
0xd3d877fc323de661ff9e1a38147a1ac679ce7c64,Crypto.com,Eoa,"3,777,897.31",0.93%,2024/8/11 0:56,0x2fda3c412f030ec799ef45bfd1373f47232d16d62d688b8f229f05fba9bdc665,15506.4228,0xdae07caf7f5e9143438b3ff83e5c19ce4148a715,0xd3d877fc323de661ff9e1a38147a1ac679ce7c64,in,
0x166716c2838e182d64886135a96f1aabca9a9756,Circle,Eoa,"3,325,743.19",0.82%,2024/8/12 4:58,0x9089e4235cfbcbc665b7342c252bd5496a35be77a91f35dfb26d514cd794d1f9,260579.01,0x0000000000000000000000000000000000000000,0x166716c2838e182d64886135a96f1aabca9a9756,in,
0xfa0b641678f5115ad8a8de5752016bd1359681b9,Crypto.com,Eoa,"3,185,374.02",0.79%,2024/8/12 1:56,0x4a2e8845e46d79320aab4e56e8e644bb00722024ddc3b78290ded07715baf8b5,11437.11,0xfa0b641678f5115ad8a8de5752016bd1359681b9,0xccf3f5cf05a3500c0fa200140ded31391b9be791,out,
0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,BingX,Eoa,"1,884,182.06",0.46%,2024/8/12 3:01,0x5ee8935a8eddf97059989e8b4e881eb098cfb02d62e5c3dbbe79b6259885e9dc,12000.00103,0xa88f86e5685fca7c5d6de0e4d944875b007137b5,0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,in,
0xb60c61dbb7456f024f9338c739b02be68e3f545c,Nexo,Eoa,"1,373,484.80",0.34%,2024/8/12 0:09,0x5daad26493f1ce6441513a130b7352df246ab5855e00cef95ecaafae76692433,509998,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xb60c61dbb7456f024f9338c739b02be68e3f545c,in,
0xc3d1351ab10628d99c4d7db8ad7cd7d8525c64ea,-,Eoa,"988,289.76",0.24%,2024/7/31 1:57,0xb9ccb2280faeb9d2b35dc3a60516e236b5a1eb27bfca664f81009fcab64f84c2,920958.06,0xc3d1351ab10628d99c4d7db8ad7cd7d8525c64ea,0x5f75d7e65c31236f957c1af00cb7f17b73604311,out,
0x131f4fe17d44d236593e9f800f0a1f906a19e7ad,OKX:Hot Wallet,Eoa,"858,959.84",0.21%,2024/8/4 8:40,0xf79510ed779556aff0e88876a2a590ba713ac715ddbaceba141bff03695883ba,64999.8,0x3285ccc5b810a38f35f0ad289d0fd5f51f292212,0x131f4fe17d44d236593e9f800f0a1f906a19e7ad,in,
0xdeed1e52eac69b85ebba21173131fd4b5e80d108,-,Eoa,"848,326.54",0.21%,2024/8/10 9:08,0x3332e135e494162068c8d426f3d2d1d512039fe987a522b5a891f5c206b8e431,100000,0xdeed1e52eac69b85ebba21173131fd4b5e80d108,0xe796c9d23eb04509fd5df32e3bba9833e86dc240,out,
0xa207d92a8592d7d8175c5d8e56e24259257fe6b8,-,Eoa,"800,000.00",0.19%,2024/8/9 19:53,0x96b1ef91c12233a6e498a442cf40ad8a65f89b3476becf8840ac8b693353d01f,500000,0xa207d92a8592d7d8175c5d8e56e24259257fe6b8,0xfc4075aa7dc27192b16baf1af2b09c40a7a88340,out,
