Address,Address Tag,Type,Token Balance
0x9d0a463d5dcb82008e86bf506eb048708a15dd84,Wombat Dai Stablecoin Asset (LP-DAI),Dex,"492,707.20"
0x36a4bcb808288112f2934d57cab654daf30a85aa,Belt Finance,Dex,"312,752.60"
0x66fdb2eccfb58cf098eaa419e5efde841368e489,Pancake LPs (Cake-LP),Dex,"177,658.04"
0x8bc495dbeac561d5a7700e9403518d74123bd65a,PancakeSwap V3,Dex,"67,413.33"
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Paraswap v5: Augustus Swapper,Dex,"32,978.37"
0x59b76b5d39370ba2aa7e723c639861266e85bfec,MDEX LP Token (MDEX LP),Dex,"17,329.23"
0xbd78f8cf00e03c00afaf684b72d08cf8f997d4bb,Fins LPs (FINS-LP),Dex,"15,593.80"
0xe0caab61ee7a12d03b268e1f6a56537ac1b61d13,Biswap LPs (BSW-LP),Dex,"15,512.40"
0xdb6f1920a889355780af7570773609bd8cb1f498,0x,Dex,"8,528.56"
0x8b6ecea3e9bd6290c2150a89af6c69887aaf1870,ApeSwapFinance LPs (APE-LP),Dex,"7,350.03"
0xa82f327bbbf0667356d2935c6532d164b06ceced,Acsi Finance,Dex,"7,189.00"
0xa7e936917446f9e493a453cd360ac5d2bb785f3a,Twindex LP Token (TWINDEX-LP),Dex,"7,055.43"
0x8b2f098411ce4b32c9d2110fef257cf01d006ba5,GAMMA DAI (gDAI),Dex,"6,713.00"
0x722ba2b93c7a27e047a295a1f6b090e4db416d8b,PantherSwap LPs (PANTHER-LP),Dex,"6,531.46"
0x19609b03c976cca288fbdae5c21d4290e9a4add7,Wombat Exchange,Dex,"5,166.15"
0xba1afebc8f19e9e246e6c051116a0d8a16f54d87,PancakeSwap V3,Dex,"4,972.92"
0xd275c60323c5551ba2260c78c0ec16fb4beccf59,Pancake LPs (Cake-LP),Dex,"3,790.51"
