Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,是否沉淀
0x98b4be9c7a32a5d3befb08bb98d65e6d204f7e98,-,Eoa,"49,521.80",7.39%,2024/8/5 12:01,0x89e1fa1c5bd4498666139e902839a15271d579f2fa053082e5f68ffb52f9a25b,18702079.79,0x3dd878a95dcaef2800cd57bb065b5e8f2f438131,0x98b4be9c7a32a5d3befb08bb98d65e6d204f7e98,in,否
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"23,954.19",3.57%,2024/1/12 15:41,0x84c79ff727b8357008db615ede08152e90be3ae114f53b8496607e934f98f78d,25077000,0x058a871358c1b01039a265635ea282c3f435a9ed,0x21d45650db732ce5df77685d6021d7d5d1da807f,out,否
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"13,669.00",2.04%,2024/8/6 9:06,0xb1807f9b386e085deb83b664386bc49083068db2fa40587540dec6de76f24077,1095864.9,0x835678a611b28684005a5e2233695fb6cbbb0007,0x5a52e96bacdabb82fd05763e25335261b270efcb,out,否
0x174ca62427d18b317b4226342db9e309c0fbd841,-,Eoa,"3,749.99",0.55%,2022/9/22 11:28,0x2fb59e4244938012682676d08f4d91894ef7a17f89c40fdba8af9d90694578c9,9403623.954,0x21d45650db732ce5df77685d6021d7d5d1da807f,0x174ca62427d18b317b4226342db9e309c0fbd841,in,是
0xfb60997286a2f9de11f07360aa2a136f3610ee67,-,Eoa,"3,131.37",0.46%,,,0,,,,
0xc5423dbba0905acf50d4bc57955a610836ea8fb9,-,Eoa,"2,663.00",0.39%,2023/7/6 22:21,0xa5742dfc9ffe8faf0c87a274346ced2e8dcb68fc9b30b022b84a609af15cb67f,6678005.1,0x2a038e100f8b85df21e4d44121bdbfe0c288a869,0xc5423dbba0905acf50d4bc57955a610836ea8fb9,in,是
0xc0f21a6e980ce7a6afbcbf619a47437d9f317546,-,Eoa,"2,568.97",0.38%,2024/6/24 12:21,0xcc80b98ad31523ac04bc4e662d8391d756f3f2a4e735d94e7625eb04b073b53e,852486.2082,0xc0f21a6e980ce7a6afbcbf619a47437d9f317546,0xeed0c8081d22f32a5d116bcb699d1ff9273490dc,out,否
0x34edb3103a6de021afa7601b99064a86d2165e48,Binance Deposit Address,Eoa,"2,000.10",0.29%,2020/9/30 4:00,0x1722c3b69b114a80522419bf244a1f8eab9f7296518176385364a8ca78daedd4,5015650.77,0x34edb3103a6de021afa7601b99064a86d2165e48,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,out,是
0x524c780448f1ca730527f72131fdc511078d2b79,Binance Deposit Address,Eoa,"1,500.34",0.22%,2024/8/6 22:30,0x9862bed543d8a8e2518d1423c887b6bb51d7c5937e7a0644c09d7cdbffe179f4,250769.4985,0x524c780448f1ca730527f72131fdc511078d2b79,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,out,否
0x418aa6bf98a2b2bc93779f810330d88cde488888,-,Eoa,"1,500.34",0.22%,2024/6/20 11:55,0x019440e6bd7f8f0342fd0d921341262a55340c772949bcb842f879b547274a28,978007.7817,0x418aa6bf98a2b2bc93779f810330d88cde488888,0x524c780448f1ca730527f72131fdc511078d2b79,out,否
