Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,是否沉淀
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"66,728,509.57",0.93%,,,0,,,,
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,Eoa,"36,045,255.60",0.50%,2024/1/3 15:54,0x5c92d6fe8b0ffd4af8c5f8c9538c7427037ee28024bc4b8bfd13d14d2d4c51c8,32742.58704,0x36696169c63e42cd08ce11f5deebbcebae652050,0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,in,
0x56306851238d7aee9fac8cdd6877e92f83d5924c,-,Eoa,"30,000,000.08",0.42%,2023/8/21 13:45,0x1ae6f155a2e2584cce0597843345e5aa3d1ee82373bc5e25e4c662899e46a677,30000000,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,0x56306851238d7aee9fac8cdd6877e92f83d5924c,in,是
0x434742703055bd20f42142d9d70b0735a5eb1b14,-,Eoa,"28,430,000.00",0.40%,2024/5/11 9:53,0x340dbaf2a7b3c285d28eb9d493f701362001c25041928927a4754b71f2225163,8420000,0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,0x434742703055bd20f42142d9d70b0735a5eb1b14,in,
0x6a0b3611214d5001fa5efae91b7222a316c12b52,-,Eoa,"21,786,365.25",0.30%,2023/5/29 2:23,0x68ff9ae2ce987969406f6d528943efa1cdc6f6cccd5009cdf32b29bf6f68ec4e,852554.9096,0x6a0b3611214d5001fa5efae91b7222a316c12b52,0x36696169c63e42cd08ce11f5deebbcebae652050,out,是
0x56152e13828f78cdcc90a6b016df0aec0985e2f3,Bitkub,Eoa,"18,931,647.17",0.26%,2024/8/8 7:08,0x8777b06b20bf4677c81ecd2f1c4cc5f822bacb6c7425ba3ab5b6d26fa6e00b5a,10716.2,0x56152e13828f78cdcc90a6b016df0aec0985e2f3,0x92120e0dc612f9e15c7fe9d2f98e9fd38a186efb,out,
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"17,301,393.35",0.24%,,,0,,,,
0xfa500178de024bf43cfa69b7e636a28ab68f2741,Stake.com,Eoa,"15,630,849.85",0.21%,,,0,,,,
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"14,979,272.64",0.21%,2024/8/5 11:18,0xebf8a2cd1890763c6285363a908a87e7aff1eb0002c5d1e6fefff89d21d67c9c,1500000,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,out,
0xd34f9d1b649c7cd5efc355c1cb6b1a481234616d,-,Eoa,"13,800,895.03",0.19%,2024/4/30 9:46,0x120c0505fd468bd64eab8947e9df227d8d1cbacedbb7f1a2524e37abe1133c81,1000000,0xd34f9d1b649c7cd5efc355c1cb6b1a481234616d,0xfab21cb9467e9badd22a2de57bcde5f53d925973,out,
